Student_ID,Subject,Exam_Score,Homework_Completion_%,Teacher_Comments
S00396,Arabic,76,90,Possible I large perhaps onto impact pretty agent long marriage civil often.
S06544,Math,91,100%,Attention very once light speak yeah against central.
S01277,Science,92,100%,Something piece phone wish rich these where career challenge despite thing cover.
S00686,English,40,90,Generation same story stand better father perform chance explain trouble best keep window.
S10984,History,57,90,Minute board finally traditional clear result push cold throughout create.
S05235,History,91,90,Main magazine consumer country any investment.
S00146,English,89,95,Probably specific science memory her stand since main.
S11885,English,60,95,Deal feel area matter painting goal both inside support together real.
S03222,Science,95,90,South policy with last wide value reach leave gun party explain reason.
S01968,Geography,50,95,Card cold imagine analysis here both knowledge.
S07201,Math,68,90,Put simple sport human them state property reach walk.
S02158,Math,68,90,Line market gas available chance who box field difficult and threat though.
S04713,Science,97,90,Country until face rich religious bad relationship industry owner.
S00394,History,74,80%,Budget size then beat list south see expert current dog.
S07662,Science,47,100%,Report fast focus into effect describe animal question show strong late.
S08590,Arabic,45,80%,Shoulder land clearly window begin while.
S01930,Math,90,80%,Official store foreign behavior situation information other others least work situation natural deal.
S11362,Arabic,70,100%,Seem head party garden maintain trade current them.
S03130,Math,109,-5,Specific story law tree sit him grow.
S07004,Geography,53,80%,State still real return activity drive.
S04249,Geography,78,100%,Great arm do brother treatment ten.
S09311,Arabic,102,80%,  
S05501,History,66,90,Great western national state born both part policy cause establish value use government.
S00503,English,103,-5,Though fact several task any sense.
S05393,Arabic,110,80%,East result policy time standard build adult.
S12113,Math,76,80%,Large provide continue beat very main serve.
S10295,English,44,95,Care own environmental defense central international front manage activity deal arrive.
S05584,Science,106,95,Brother reveal much explain anything economy executive.
S02502,Math,86,-5,North easy political wait bill a have hold live rest.
S02707,English,79,-5,Someone hold job clearly until area seem report include act law.
S06883,History,46,100%,Individual yes eat senior today culture card first appear son ask.
S08270,Arabic,64,100%,Show among when arrive might none thousand want report own relationship already.
S05363,Math,105,90,Improve population star shoulder month stop especially pretty.
S00323,English,101,100%,Still senior north money along very water family board beyond.
S04915,English,98,95,Move four local interesting involve thousand research like little.
S10408,Arabic,101,100%,Off forward foot first best white senior oil moment staff source get will attorney.
S08096,History,56,90,Manager husband late production discussion loss deep.
S04091,History,72,100%,Those you apply child church certain from media game.
S02911,History,45,95,  
S07992,Geography,96,-5,Boy certainly event single get president book there anything win.
S05620,Science,62,100%,Least senior someone stay day whole them.
S05675,English,62,80%,  
S11950,English,97,-5,  
S00719,Geography,102,80%,  
S05436,History,41,80%,Well memory husband view weight country mean able race serve.
S01638,Science,105,90,Its day reality measure sure tax term can pretty officer despite organization though.
S04441,Geography,45,95,Discuss start more mention year air.
S02466,Geography,110,95,Center author agent provide machine wish tell arrive entire.
S09377,Math,48,-5,Food every father week particular let strategy election budget finally car real including.
S10138,English,90,90,Glass wish employee street magazine memory even specific particular tree different.
S07820,Geography,88,-5,And third action natural blood boy hair.
S05656,Arabic,92,90,Your piece wind sing question just say identify.
S02080,Science,90,95,  
S05203,Math,110,100%,Change garden magazine behavior sit table speech base stand themselves.
S05366,Science,61,95,Information music hot everything number commercial week occur allow general box.
S00690,Geography,81,100%,Floor term experience off never than allow talk crime answer important.
S06170,Science,61,80%,Time side notice discuss hit wear play quality turn range lose author write.
S05994,Arabic,98,80%,When usually effect store open pressure south never through.
S11863,Arabic,84,100%,Team sport travel sign hair make phone edge pull involve campaign mouth.
S07165,Arabic,53,100%,Physical participant bar account couple job area.
S09411,Arabic,92,95,Use could on end Democrat then important almost help.
S08666,Arabic,99,-5,Anyone stay science likely information possible edge career quite apply body sport college.
S11797,English,83,90,Huge drop prove resource sense side list others.
S06634,Math,47,-5,Cup plant two night sound late stand lead down left.
S00984,English,50,-5,Number western inside not play ever father.
S01003,Arabic,69,95,Remain consumer brother same industry career treatment.
S07786,Math,109,100%,  
S00355,Science,87,-5,Top side cause send occur ability behind represent above stop gun evidence.
S06511,Math,88,100%,Figure activity answer and house attorney.
S00282,History,85,-5,Idea keep American since front notice state whether quality town power system point.
S10169,English,50,100%,Future affect despite party herself able.
S05626,English,60,-5,Anything environment big so report technology want apply.
S08874,Arabic,58,-5,Student allow position rock evidence money.
S05102,Arabic,47,80%,Suddenly magazine trade compare fear foreign strong little yet young give price.
S03146,History,56,100%,Husband along end economy himself ago main wish well.
S00733,Science,107,80%,Itself relationship direction nearly indeed available national government full most.
S03155,Arabic,107,100%,  
S06351,History,91,80%,Tax everybody money consider during late again collection it particular.
S09358,English,64,95,Culture thus travel pretty whose I piece national food play debate.
S06469,Math,81,80%,Free girl eat far model certain expert light meeting difficult edge say.
S10369,English,104,90,Side same without impact director everybody against just baby resource force.
S07619,History,85,90,Of hour economy everyone sport analysis.
S00403,Math,94,80%,Well him social success common save language election.
S00923,Science,74,100%,  
S10494,Arabic,95,80%,Stop someone study matter car point wife.
S09844,Arabic,95,90,Bit since poor attorney record model pass run treat arm.
S05231,Geography,87,95,Determine outside according house teach against election plan prove forget decision.
S02564,Geography,52,100%,Several yes camera argue fight center just leader like.
S08988,Geography,57,95,Fall front amount charge item cut pick garden soon me of big.
S10680,Math,72,100%,People focus after price walk clearly remember create specific stop word maintain garden.
S06720,English,90,95,Like direction well sister act no find once care cup apply set all.
S01503,English,85,80%,Have agreement without young environment little deep turn new not wall true.
S05433,History,101,95,Push campaign box yes relationship article idea surface.
S05632,Science,108,-5,When mother assume admit lot child draw fast.
S01780,English,100,95,Who option take turn stage color determine stage section member local enjoy.
S07918,Science,96,100%,War provide send material clearly sea sing can.
S11822,History,57,95,Way dream natural seek against catch heart.
S07478,History,54,100%,Enjoy change when lose fund paper.
S06287,History,104,80%,Look she sea just usually kid four enough discussion past enter.
S02366,Science,72,-5,Seat but toward owner early simply Congress modern worker myself.
S02059,Math,105,95,Article budget capital suggest quality voice surface.
S04934,History,74,-5,Specific age serve number protect unit safe.
S02645,Geography,83,95,Marriage question practice drug keep real my style.
S10225,Science,75,80%,Around value turn whatever computer require thousand.
S08707,Arabic,63,80%,  
S07173,Geography,44,100%,Eat total list political put decision not test.
S05611,Science,99,80%,Seat member yeah part instead very order kid guess show memory most although.
S02289,History,57,95,Could get word effect listen state couple build program account moment with.
S11424,English,67,-5,Important find health Congress sister simple doctor these.
S05037,History,49,95,Then white stuff choice church process rich catch.
S08743,Math,42,-5,  
S03226,Math,87,100%,Listen travel law already long fish visit serve see various herself.
S08220,Math,105,100%,Heart case experience step once half audience point.
S03617,Geography,100,95,Some inside foot month rest prove again arm seem east paper.
S05844,English,40,80%,Security food crime television usually skill.
S01904,Arabic,53,95,Room dark year machine show outside important tough people need memory option.
S03924,English,93,90,Wife short even allow student member leave fine study nature market significant.
S07153,Arabic,79,-5,Actually unit card attack product camera then year growth north face remain.
S09125,Math,68,95,If other window look choose reach sister age.
S03383,Math,58,100%,Claim indicate both hope early study international fill mean.
S09487,English,60,95,Explain prepare challenge leader push activity sing.
S05876,English,84,-5,Offer apply this last store evening want wonder charge.
S03058,Math,96,95,Perhaps end interview make sign certain.
S03644,Arabic,88,90,  
S11755,English,63,80%,Skin difference tonight still something reality.
S11383,Science,41,80%,Level majority rate rise remain sound determine expert growth indeed.
S07051,Geography,97,-5,Their wall population property discuss consumer per let operation blood near event perhaps.
S10964,Math,41,100%,Type write provide none actually think woman car best end between speak doctor.
S03956,English,55,100%,Sing special reason catch degree back over air while.
S04375,English,62,-5,Eye school concern baby inside popular senior pretty moment now that.
S07091,Geography,55,95,Throughout sure between policy size pick in interesting state.
S00357,Math,106,100%,At return level mean choice compare.
S09672,Geography,49,95,Ten fish simple appear sing stop base.
S06644,Geography,72,-5,Remember decision condition population own truth.
S00191,History,63,95,Time vote wait step series bill market notice.
S10604,Math,50,90,Live decision result him property step behavior.
S01748,Science,71,-5,Wrong say international rule look above traditional only six order data clear.
S06170,Math,63,-5,Seat than mind let rule score bar.
S00549,Science,69,100%,Land allow might notice north may move line.
S01966,Science,94,95,Also argue clear really gas discuss expect when.
S06061,Arabic,72,100%,Point experience lead partner animal go religious.
S05025,Arabic,87,90,Get art appear character remain recently fund brother condition.
S09432,Arabic,59,80%,Buy serious treatment into reach if TV general pay expect choose.
S02218,English,96,90,Woman blue away how middle spring while money space.
S00045,Geography,85,90,System compare work road recently player teach.
S08529,Math,60,80%,  
S08611,Arabic,78,80%,Southern when safe like technology new book government.
S03883,Math,58,80%,Go successful still suffer care themselves reflect whole environmental.
S03291,Science,88,95,Pm under total real peace help.
S04877,Math,85,90,Never management tonight share baby decision.
S09243,Science,53,-5,Central billion movie change later doctor keep time.
S05373,English,105,80%,Per area type successful age bag best how few radio put everyone.
S04243,Math,110,90,Skill power ahead right hot prevent.
S09275,Science,61,95,Together two quality effect another girl school.
S06220,History,85,90,Public product about stock head society material game system.
S04635,History,40,95,Above fly anyone amount Democrat I month much small admit as soon.
S03124,Science,42,95,Under want view hospital charge offer any address none imagine car house my.
S06944,History,59,-5,Second marriage magazine paper energy everybody.
S00538,Science,43,-5,Since key event tough choice free.
S03056,Geography,108,90,Can collection yes attack seem police.
S10087,History,105,80%,We red carry culture Mr edge research themselves enter simple doctor.
S04014,Math,98,90,Agreement party popular inside brother project while or tend animal especially so.
S08136,Arabic,91,-5,Vote option too conference sing boy name.
S04907,Science,110,80%,Major land through while describe population together.
S02390,History,90,80%,Could anyone forget economy production answer face nothing.
S10625,Arabic,71,100%,Specific share without such enough theory toward option answer true.
S01951,Math,62,90,Sister simply important today its for position yes budget add especially according.
S10542,English,97,95,Eight PM suggest under listen wrong high trip since first common.
S10748,English,82,90,Bring describe relate concern including ball choice interesting turn page teach ten activity.
S06592,Math,64,100%,  
S10919,Geography,87,80%,Then someone similar media area institution author bit fast major even church.
S04460,Science,81,-5,Want never near within sing east care she history candidate.
S03618,English,107,-5,Continue accept foot speech treatment use history director respond toward form.
S07162,History,55,-5,Usually reveal trip focus entire out benefit until night section leave base.
S07707,English,110,80%,Center a whether deep after trip item exist poor area window win.
S05273,Science,45,95,About work financial least kitchen game difficult sometimes at movie learn author sit.
S04397,Arabic,87,-5,Mean history resource catch medical offer.
S00862,History,63,80%,Pressure three exist let new person deal let include down defense.
S03578,Geography,66,80%,Stand team good plant draw law agreement myself administration bring.
S11021,English,84,80%,Director in imagine management opportunity use simple prepare enjoy western.
S07153,Science,86,95,Course guy provide place sure top father pay.
S00309,History,43,80%,Play data follow down large wind out without my.
S05947,History,67,95,Than teach ever gun central wait guess few.
S11589,English,104,95,Shake and behind nearly best degree may movie claim treatment perhaps along serve.
S08813,Geography,82,100%,Inside agreement late Mr customer view small arm range science how marriage behind what.
S03670,Science,52,95,Get relate whatever size short edge.
S10490,Arabic,109,80%,Receive it fast the figure six four way camera difference.
S06422,Arabic,80,100%,Road suddenly bag wife necessary government two meet able book standard shake.
S07869,Science,75,90,Author law clearly alone each administration this fish.
S08716,Geography,55,-5,Compare interest crime us field everybody radio production sing young suggest administration.
S04648,English,83,80%,Policy hotel owner vote agency evidence half candidate pass mother admit leave night commercial.
S04117,History,64,90,Chance set me degree hospital station each responsibility actually make teach image style.
S03310,History,106,90,Owner opportunity arm difference blood party spring near agent pull.
S01526,English,88,95,Brother change off military become thought wear scene new job amount.
S10484,History,78,80%,  
S02275,Science,52,-5,Very data she above law career prepare western rather.
S04409,Math,99,-5,Her will contain statement little particularly paper whatever know leave stuff deep.
S04977,English,99,90,While affect this town prove suddenly free this pick likely common.
S04215,History,96,100%,Able network buy south few member how including international for simply present result.
S09231,Geography,108,100%,Analysis whose bring character lot seek director including majority article service speak.
S06417,Science,70,90,Way live beat western wish provide present friend state pattern.
S08250,English,96,100%,Real human every significant Mrs yourself.
S02153,Geography,84,95,Think both data hundred across seat coach.
S09033,Geography,107,100%,  
S11290,Math,78,95,Practice fly memory message young build natural technology radio increase direction account knowledge until.
S08167,English,65,100%,Begin bill rather president buy class executive thing oil travel husband.
S01556,Science,103,95,Per garden national recent policy lawyer tell grow street cost she.
S10069,Geography,80,100%,Least share return trade three whose worker later already hope once recognize.
S07228,English,69,80%,Say return benefit each left truth couple development particularly.
S01519,English,103,80%,Road rich case main third share information story medical prove economy.
S05011,Arabic,103,95,Visit beyond at firm as thousand six seem guy.
S09317,History,49,95,Message check operation fact likely style.
S03684,Math,106,-5,What win reality best in PM capital rather alone speech while.
S04813,Math,86,95,Speak record return real matter dog dream idea owner school.
S07983,Geography,101,90,Someone teacher down question police we somebody field certainly bill thing address.
S00047,English,58,95,Affect international TV tree recently keep.
S04959,Geography,65,100%,Vote listen when clearly something day positive.
S11357,Arabic,71,95,  
S03287,Arabic,45,95,Since allow husband far debate last home which race.
S07962,Math,92,100%,Time until off talk view huge American evidence establish you shake cost present.
S08717,Science,71,80%,Performance population position or discussion share speak raise season writer garden stock.
S01286,English,106,80%,Relate talk country table left shoulder project eye argue finish.
S09741,English,49,95,Industry oil wife Mr ok evening.
S04809,History,68,90,Us small film seven fund along mind.
S08821,History,42,100%,Society rate stand effort peace social toward tend stock still.
S05893,Arabic,70,80%,  
S00396,Arabic,85,95,Appear picture day site soldier herself.
S11922,Geography,43,80%,Visit statement father land protect free Mr quality image act hold question.
S10032,Arabic,79,80%,Morning wish act already listen boy apply party early plant certainly avoid event.
S11337,Science,48,90,Particularly prepare will tonight build policy participant guy here Mrs pattern.
S05222,Arabic,90,90,  
S08763,English,91,90,Move require number see piece including station page.
S04122,Math,40,95,Upon floor oil look throw find your mouth until no bar source.
S08505,Math,108,80%,Report nice statement hospital give dog attorney else.
S01223,Math,74,-5,Career sea back his investment anyone case three table person class price moment.
S00420,Geography,79,95,Computer page according hand student work school sure her perhaps change stuff.
S02639,Science,98,100%,Board key many speech me phone per language partner miss.
S11645,Arabic,94,90,Garden Mrs score same partner white hard usually anyone.
S00135,Science,87,80%,Pretty fly tax remain style growth each level order character officer build.
S09803,English,96,100%,Trouble born common real different knowledge truth.
S09875,Math,85,80%,Seven likely son medical draw they structure form article without quite.
S06607,English,86,80%,The some floor book election cup wall.
S09270,Math,69,100%,Effort fight nature improve soon under decade theory possible attack reality account final.
S10057,English,85,80%,Board report security dream information station general stock involve prove by.
S01574,Math,91,-5,Into step still mention year send training accept small different since high.
S08324,History,87,80%,Future better finally sign start security day put director student task.
S06103,English,43,80%,Modern clear thought there sound represent try he bad reality.
S03708,Geography,72,95,Remember church hospital yet send firm daughter.
S10792,Arabic,95,-5,Least coach share send responsibility baby risk ball leave this.
S06453,Arabic,96,100%,Their commercial type house some discover administration factor huge sure.
S09628,Geography,54,95,Suffer design factor deep light PM value end pressure hospital drop six.
S02446,History,105,-5,Line company many hope memory dinner industry will forward economic.
S10111,History,78,100%,Big trouble operation marriage institution sure if before positive within though ground.
S08553,Geography,61,80%,Approach almost decade garden food father draw subject.
S12136,English,41,-5,Give allow ahead garden provide board carry store class quality run trip particular.
S05190,Science,73,-5,Table director hand as future hot.
S11590,Geography,44,95,Word catch military pick stuff ten cold night still run.
S04363,English,44,90,Board eye cell rule senior allow must drop interview sing apply professional play.
S07536,Arabic,64,-5,Exactly camera stop community scientist realize heavy despite by.
S11210,Math,81,90,  
S03660,History,76,95,Light a save pattern author candidate ball those space.
S00981,Math,65,-5,  
S02405,Arabic,82,95,Start character maintain stuff strong business yard trial.
S05676,Math,52,80%,Air degree event possible participant time reality start evidence fight.
S11567,Arabic,41,80%,Activity fund eight clearly year both care necessary night get act fine.
S08679,Math,63,80%,  
S05932,Arabic,72,90,Radio trip send physical past future issue land newspaper successful place age try.
S01128,Arabic,78,-5,Truth until try myself join pay.
S10842,Science,85,90,Quite body enter analysis clearly range real if ever.
S08602,Science,81,100%,Population fast people American knowledge method write almost store ground page school Mrs.
S05530,History,109,100%,First race enjoy law movement whose cup.
S01492,Science,40,80%,Audience poor more city national upon way.
S04647,Geography,76,90,Whether natural maintain different ask mind despite least window course.
S04587,Geography,98,-5,Production major three suddenly discussion road art even per interesting science argue consider.
S02163,Geography,84,90,Land quite opportunity whether life really control director carry actually.
S05943,Geography,103,90,Item line box whether public option safe ten professional decade movie book already.
S10716,Math,95,95,  
S10171,Math,45,100%,Career interesting read brother difficult yard field.
S12119,Geography,61,80%,Couple program black include my control home find real collection land.
S03018,History,49,90,Since total hard drug rich cup impact sea operation west under recently.
S09738,History,89,80%,Question along science magazine military matter.
S04593,Arabic,83,95,Attack health kitchen watch degree production understand.
S00636,Math,109,95,Present money writer worker try college.
S06140,Science,86,-5,Song majority stand direction face nice water.
S09205,History,88,90,Like range eight director think floor present.
S03959,Geography,44,90,Effect unit raise strong perhaps site list political.
S10773,English,92,95,Upon require collection pay enough change cause employee individual Mr up boy human.
S09154,Geography,95,80%,Think treatment sport citizen cell sense I kid push.
S06217,Arabic,68,-5,  
S01124,Arabic,42,90,Interest air above listen add air crime price themselves.
S04381,Math,69,90,Nature raise green billion capital deep few red away action scientist floor image.
S03207,Science,84,95,Player we executive lot stock return body.
S03185,Arabic,103,95,Stay group listen most his year security usually air star.
S04098,Science,81,-5,Republican night too hard kind spend feeling relationship establish mention particular part reveal.
S10130,Math,72,90,  
S04190,English,77,95,Clearly they book green field federal staff scientist prove.
S07667,Math,71,90,Wish result easy ask question necessary design.
S10770,Science,77,100%,Drug official daughter treat short Mrs once this quality success.
S04300,Science,80,90,Hope me dark difficult sure pull see degree knowledge.
S05649,Geography,108,95,Event say near road perform shake newspaper decision into bar.
S07930,Science,88,95,Home message later still difference green arrive building several water.
S06943,Science,69,-5,Fast policy child whose attention would its teach.
S08727,English,46,90,Letter produce south hard certainly phone than black when eight theory.
S02980,Arabic,42,100%,Perform city step wind usually speech firm institution pay effect.
S04791,Math,70,90,Cell between garden cell tough Mr body.
S11407,English,65,-5,Water decade reveal process box power necessary.
S10213,English,98,80%,Summer now health evidence view she reduce.
S08818,English,65,80%,Range usually happen production long new listen.
S11998,Science,98,90,Believe skin return wall assume continue.
S07903,Science,69,95,During position family military lot consider central church until lead treatment.
S02615,Math,74,90,Adult simple believe identify plant nor professor focus million letter.
S07739,English,83,80%,Either team arm standard news order edge build.
S10608,English,63,-5,Room unit key growth expert evening pattern.
S04972,Math,99,100%,Hundred need collection adult police radio present heart sing win far.
S03179,English,82,95,Majority require program simply blue thought.
S06143,Science,101,-5,Position even size service cultural there.
S11325,Math,100,100%,Third official debate most tell again wish night cell remember write.
S05766,History,54,80%,Similar social strategy peace affect bill door keep right run movement appear into.
S10239,Science,106,90,Born produce note its reflect option word site on water western yourself role.
S02784,English,56,90,Candidate mother strong when million hand fish suddenly.
S10721,Science,98,95,Mission receive blue something rise enjoy.
S10754,History,52,-5,Available paper can hair experience daughter fly threat.
S10991,Math,96,-5,Explain end government by worker from though if.
S11987,Geography,43,95,Already candidate list ground total star.
S01943,English,107,-5,Score man child thought new understand time service.
S09748,Math,76,-5,Music where feeling past dinner song one.
S11774,Arabic,81,90,Upon outside business after human apply water admit.
S01540,Math,82,100%,Learn because society unit its lay authority certainly development decide physical.
S08883,English,75,90,Event organization mission quite subject its rest president wish.
S11108,History,44,100%,Yes experience piece walk thank police mention who whom.
S02703,Math,72,90,Nation security child address can foot collection I work financial themselves enough.
S05113,History,57,-5,Field dark attention western within part world.
S08680,Science,78,95,Form effect chance would cost century color rock paper include contain ever enjoy.
S09365,Arabic,62,90,Floor sport relationship forget tree cover especially.
S08863,Math,62,100%,Far exist people same stock maybe effort she fund pretty well east base democratic.
S12055,History,52,90,Bag until couple say fall although interest probably.
S07786,Math,108,-5,Officer become wall evidence lose represent fire them doctor truth above.
S10739,Science,54,80%,Magazine already detail relationship election thought class federal.
S00334,Science,55,-5,When seat charge station prevent fill leg less board democratic but.
S06188,History,44,-5,Music pretty begin enough apply truth individual upon business lead.
S01496,English,45,80%,Answer picture past its half security heart nice head television turn coach.
S06203,English,49,90,Hit even begin rule social close person.
S11762,Geography,58,-5,  
S11508,History,79,95,Up else shoulder possible none your eat item unit.
S04470,Geography,42,95,Until and next interest board professional glass end owner necessary account protect learn.
S01588,Arabic,52,100%,From purpose end fill a thing morning final ahead then.
S10698,Arabic,57,95,Fact tell clearly Mrs decade today focus do exist part increase watch.
S00705,Science,93,-5,Talk knowledge require number entire which whatever occur course.
S12031,History,110,100%,Piece east then strategy key reduce chair high.
S11070,Geography,97,80%,Enjoy someone already writer medical break south child fear activity tough.
S10937,Geography,80,100%,Against some management smile wall actually forward job whom actually opportunity station.
S10539,Geography,68,100%,House sort concern figure test bed resource fire less traditional.
S07615,Science,86,-5,Measure trip along rock stand owner.
S02398,Arabic,57,100%,  
S07508,Geography,79,95,Exactly investment catch office attention seven off machine recent us.
S02480,History,49,95,Cover important radio area around wall these carry hand those nature kind sister cup.
S01675,Geography,109,90,Bar court man agree everything event form reveal hair.
S08282,English,63,-5,  
S05211,Science,58,90,Last board study happen raise go matter voice table member.
